Users, Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
User 2,0.5186181,0.058970306,1.32E-04,0.002040986,0.11687329,0.6735082,0.5826656,0.0358,0.812712,0.73917973
User 2,0.561447,0.10955886,2.08E-04,0.002375936,0.13602602,0.6996291,0.5961901,0.0327,0.80284333,0.7145062
User 2,0.47264662,0.05020802,2.36E-04,0.002473069,0.14157793,0.6957052,0.5872885,0.042,0.8093777,0.71832746
User 2,0.45526463,0.077654265,3.09E-04,0.002704548,0.15480416,0.7273278,0.61269104,0.0453,0.79032254,0.68629014
User 2,0.46787795,0.062486995,1.62E-04,0.002188542,0.12531206,0.7301518,0.6389633,0.0274,0.7692372,0.683285
User 2,0.48630282,0.041635435,1.10E-04,0.001922695,0.11010662,0.715262,0.63409424,0.0294,0.77325577,0.6988564
User 2,0.46652338,0.050718427,1.94E-04,0.002317968,0.1327122,0.73005384,0.63313055,0.0421,0.77404505,0.68338966
User 2,0.45984426,0.03628532,2.88E-04,0.002640803,0.1511626,0.7484485,0.6399342,0.0505,0.76842976,0.6631929
User 2,0.45880035,0.03957205,2.25E-04,0.002433412,0.13931131,0.7256358,0.62297004,0.0611,0.7822457,0.68807894
User 2,0.45477313,0.039542302,2.77E-04,0.002608016,0.14928931,0.714388,0.60225344,0.0621,0.798305,0.69974977
User 2,0.47904968,0.049182575,1.58E-04,0.002172036,0.12436822,0.61594576,0.70896846,0.0294,0.7052402,0.78778857
User 2,0.49824497,0.070425384,1.48E-04,0.002114079,0.12105374,0.6765842,0.58265054,0.0537,0.8127228,0.73636526
User 2,0.62490416,0.10135069,2.79E-04,0.002614492,0.14965932,0.7037192,0.58980674,0.0495,0.8075444,0.7104782
User 2,0.50023115,0.034250632,1.81E-04,0.002264335,0.12964587,0.69984555,0.6015535,0.0348,0.79883254,0.7142942
User 2,0.53930414,0.08321387,4.60E-04,0.00308965,0.17679286,0.68594086,0.54708004,0.0443,0.8370803,0.7276573
User 2,0.488418,0.04841625,2.37E-04,0.002474493,0.14165929,0.68962026,0.58037287,0.0728,0.81435084,0.72417116
User 2,0.4731235,0.07211374,5.32E-04,0.00324173,0.18547058,0.7402463,0.60335314,0.0485,0.79747415,0.6723358
User 2,0.53123134,0.063445896,2.96E-04,0.002667748,0.15270194,0.7297259,0.6171144,0.0379,0.7868734,0.6837398
User 2,0.48837647,0.04902237,3.34E-04,0.002778504,0.15902852,0.74979115,0.63541806,0.0358,0.7721683,0.66167456
User 2,0.49528712,0.04937306,2.82E-04,0.002625574,0.15029249,0.75106007,0.64363,0.04,0.76533675,0.66023386
